113-A-bug-683826-683913,10,356,304,53,1,303,303,63
113-A-bug-691902-691903,10,360,336,25,1,335,335,43
118-A-bug-18073097-18080639,10,57,46,15,4,42,42,8
118-A-bug-18103516-18103560,10,57,51,15,9,42,42,12
118-A-bug-18109879-18109907,10,57,51,15,9,42,42,12
118-A-bug-18134274-18134357,10,57,51,15,9,42,42,10
118-A-bug-18144017-18166218,10,75,73,4,2,71,71,241
118-A-bug-18174609-18174835,10,57,46,15,4,42,42,9
118-A-bug-18174643-18174835,10,57,53,15,11,42,42,6
118-A-bug-18174652-18174835,10,57,46,15,4,42,42,8
118-A-bug-18174751-18174835,10,57,43,15,1,42,42,3
118-A-bug-18282023-18282195,10,57,43,15,1,42,42,8
118-A-bug-18294639-18294683,10,57,43,15,1,42,42,3
118-A-bug-18327752-18328450,10,57,50,11,4,46,46,9
123-A-bug-1869815-1869826,10,34,18,17,1,17,17,6
124-C-bug-5745829-5746012,10,62,56,8,2,54,54,4
126-B-bug-16617781-16617816,10,48,41,8,1,40,40,21
126-B-bug-6462704-6462737,10,48,40,10,2,38,38,3
131-A-bug-18069181-18073244,10,61,52,10,1,51,51,1
131-A-bug-18178430-18178436,10,65,62,4,1,61,61,1
131-A-bug-18178468-18252378,10,62,54,10,2,52,52,3
131-A-bug-18296690-18296701,10,65,63,4,2,61,61,1
133-A-bug-17969403-17975791,10,88,77,13,3,75,74,3
133-A-bug-17992884-17992958,10,88,77,13,7,75,70,2
133-A-bug-17993292-17993355,10,88,77,13,2,75,75,6
133-A-bug-18017249-18017267,10,88,77,13,7,75,70,2
133-A-bug-18066416-18066518,10,88,78,13,3,75,75,7
133-A-bug-18158271-18158334,10,88,65,13,13,75,52,4
133-A-bug-18158313-18158334,10,90,80,12,2,78,78,1
133-A-bug-18285631-18285709,10,88,76,13,1,75,75,1
133-A-bug-18285725-18285856,10,88,65,13,13,75,52,4
133-A-bug-18286216-18286228,10,88,77,13,2,75,75,4
133-A-bug-18296173-18296188,10,88,77,13,7,75,70,2
133-A-bug-18327759-18327824,10,88,77,13,2,75,75,5
133-A-bug-18348504-18348539,10,88,77,13,7,75,70,2
133-A-bug-18355672-18355701,10,88,65,13,13,75,52,4
133-C-bug-925626-925706,10,19,1,19,1,0,0,7
133-C-bug-927836-927839,10,19,19,8,8,11,11,6
137-A-bug-11590458-11590515,10,50,36,15,1,35,35,12
137-A-bug-8134102-8134128,10,50,42,9,1,41,41,11
147-A-bug-1015775-1015776,10,78,56,46,24,32,32,7
147-A-bug-1045602-1045611,10,79,61,45,31,34,30,9
174-B-bug-1501641-1501825,10,69,67,4,2,65,65,31
