113-A-bug-683826-683913,10,356,304,53,1,303,303,100
113-A-bug-691902-691903,10,360,340,25,6,335,334,79
118-A-bug-18073097-18080639,10,57,46,15,4,42,42,30
118-A-bug-18103516-18103560,10,57,53,15,11,42,42,28
118-A-bug-18109879-18109907,10,57,47,15,5,42,42,29
118-A-bug-18134274-18134357,10,57,53,15,11,42,42,29
118-A-bug-18174609-18174835,10,57,49,15,7,42,42,29
118-A-bug-18174643-18174835,10,57,47,15,5,42,42,29
118-A-bug-18174652-18174835,10,57,53,15,11,42,42,29
118-A-bug-18174751-18174835,10,57,53,15,11,42,42,29
118-A-bug-18282023-18282195,10,57,51,15,9,42,42,32
118-A-bug-18294639-18294683,10,57,51,15,9,42,42,32
118-A-bug-18327752-18328450,10,57,57,11,11,46,46,28
123-A-bug-1869815-1869826,10,34,17,17,17,17,0,24
124-C-bug-5745829-5746012,10,62,26,8,3,54,23,25
126-B-bug-16617781-16617816,10,48,41,8,1,40,40,50
126-B-bug-6462704-6462737,10,48,39,10,1,38,38,34
131-A-bug-18069181-18073244,10,61,10,10,10,51,0,29
131-A-bug-18178430-18178436,10,65,62,4,4,61,58,24
131-A-bug-18178468-18252378,10,62,10,10,10,52,0,29
131-A-bug-18296690-18296701,10,65,62,4,4,61,58,24
133-A-bug-17969403-17975791,10,88,65,13,13,75,52,24
133-A-bug-17992884-17992958,10,88,65,13,13,75,52,24
133-A-bug-17993292-17993355,10,88,65,13,13,75,52,24
133-A-bug-18017249-18017267,10,88,65,13,13,75,52,24
133-A-bug-18047608-18047662,10,88,79,13,5,75,74,30
133-A-bug-18048780-18048793,10,87,59,32,7,55,52,29
133-A-bug-18066416-18066518,10,88,65,13,13,75,52,25
133-A-bug-18217634-18217677,10,88,81,13,7,75,74,27
133-A-bug-18285631-18285709,10,88,79,13,5,75,74,29
133-A-bug-18285699-18285856,10,88,69,69,69,19,0,24
133-A-bug-18285725-18285856,10,88,79,13,5,75,74,29
133-A-bug-18286216-18286228,10,88,80,13,6,75,74,28
133-A-bug-18292018-18292024,10,88,80,13,6,75,74,28
133-A-bug-18296173-18296188,10,88,77,13,7,75,70,23
133-A-bug-18327759-18327824,10,88,80,13,5,75,75,27
133-A-bug-18348504-18348539,10,88,79,13,4,75,75,28
133-A-bug-18355672-18355701,10,88,65,13,13,75,52,23
133-C-bug-925626-925706,10,19,19,19,19,0,0,26
137-A-bug-11590458-11590515,10,50,42,15,9,35,33,36
137-A-bug-8134102-8134128,10,50,37,9,9,41,28,28
147-A-bug-1015775-1015776,10,78,65,46,33,32,32,28
147-A-bug-1045602-1045611,10,79,47,45,45,34,2,32
147-A-bug-1045605-1045611,10,78,44,44,44,34,0,29
147-A-bug-12915557-12915622,10,74,42,38,33,36,9,30
174-B-bug-1501641-1501825,10,69,65,4,2,65,63,55
174-B-bug-1504776-1504783,10,90,86,6,2,84,84,63
180-C-bug-15764515-15764561,10,20,6,6,6,14,0,25
197-C-bug-11986074-11986110,10,23,23,23,23,0,0,29
197-C-bug-2103086-2103090,10,23,21,6,4,17,17,26
202-A-bug-1864388-1905671,10,59,39,29,28,30,11,26
202-A-bug-1938570-1938571,10,59,31,59,31,0,0,25
208-A-bug-17292049-17292076,10,73,38,40,36,33,2,29
208-A-bug-17532993-17533015,10,73,59,59,59,14,0,26
208-A-bug-17922157-17922172,10,25,15,15,15,10,0,24
208-A-bug-18102368-18102377,10,62,62,62,62,0,0,24
208-A-bug-18123262-18123289,10,74,10,68,4,6,6,38
208-A-bug-18260832-18260860,10,74,41,41,41,33,0,29
208-A-bug-18351096-18351104,10,74,33,33,33,41,0,24
236-A-bug-18003726-18007529,10,91,64,39,39,52,25,38
236-A-bug-18003976-18004085,10,89,89,89,89,0,0,24
236-A-bug-18007495-18007529,10,89,89,89,89,0,0,28
236-A-bug-18227052-18227120,10,91,65,39,38,52,27,66
236-A-bug-18338107-18338153,10,91,62,37,36,54,26,66
245-B-bug-15450004-15450022,10,26,18,4,2,22,16,46
245-B-bug-15926715-15927032,10,26,23,4,1,22,22,48
276-B-bug-13314488-13314500,10,33,31,6,5,27,26,25
276-B-bug-15034096-15034124,10,46,41,6,1,40,40,25
276-B-bug-5933556-5940552,10,41,36,6,1,35,35,25
276-B-bug-5933573-5940552,10,41,36,6,1,35,35,25
276-B-bug-6188908-6188949,10,41,21,6,5,35,16,24
281-A-bug-18132658-18132720,10,49,49,3,3,46,46,24
281-A-bug-18294879-18294887,10,28,28,28,28,0,0,24
291-B-bug-3524194-3524237,10,21,21,21,21,0,0,24
291-B-bug-3537395-3537438,10,21,5,4,4,17,1,30
291-B-bug-3539893-3539896,10,23,4,4,4,19,0,24
291-B-bug-3726598-3726610,10,23,4,4,4,19,0,24
291-B-bug-6753127-6753143,10,31,4,2,2,29,2,30
316-A1-bug-3879223-3879239,10,35,27,4,2,31,25,30
316-A2-bug-3868271-3868327,10,27,18,17,17,10,1,24
316-A2-bug-3876995-3877003,10,36,26,4,4,32,22,37
31-B-bug-10514546-10514583,10,84,10,9,9,75,1,31
31-B-bug-10514570-10514583,10,96,40,7,6,89,34,32
31-B-bug-136044-136045,10,68,56,48,48,20,8,24
31-B-bug-14199570-14199578,10,74,14,9,8,65,6,29
31-B-bug-512114-512120,10,72,9,9,9,63,0,24
31-B-bug-512116-512120,10,68,40,40,40,28,0,23
353-D-bug-4926926-4926955,10,27,18,9,1,18,17,52
353-D-bug-6175754-6175760,10,24,19,6,1,18,18,58
363-C-bug-13754002-13754097,10,45,45,2,2,43,43,40
385-B-bug-11063177-11063186,10,17,14,8,5,9,9,35
385-B-bug-17596493-17596993,10,17,15,3,1,14,14,52
385-B-bug-6898992-6898998,10,17,14,8,5,9,9,35
393-A-bug-10224824-10224841,10,77,47,3,3,74,44,26
393-A-bug-12975319-12975331,10,68,7,7,7,61,0,27
393-A-bug-13882866-13882981,10,62,46,21,5,41,41,65
393-A-bug-13915086-13915488,10,72,60,13,1,59,59,177
393-A-bug-13915169-13915488,10,102,97,6,1,96,96,113
393-A-bug-14052177-14052206,10,62,49,9,1,53,48,86
411-A-bug-14678684-14678713,10,143,80,5,5,138,75,38
411-A-bug-9661639-9661654,10,143,80,5,5,138,75,38
41-C-bug-10642948-10642983,10,56,36,21,1,35,35,38
41-C-bug-10642957-10642983,10,55,46,10,1,45,45,51
41-C-bug-10642972-10642983,10,55,53,4,2,51,51,47
41-C-bug-10643130-10643148,10,57,27,31,1,26,26,45
41-C-bug-16825894-16825911,10,57,37,21,1,36,36,41
41-C-bug-17904918-17904940,10,92,92,2,2,90,90,58
41-C-bug-17904924-17904940,10,56,36,21,2,35,34,40
41-C-bug-17917572-17917578,10,63,51,16,4,47,47,30
41-C-bug-187321-187384,10,56,36,21,1,35,35,50
41-C-bug-736212-736216,10,63,49,16,2,47,47,30
420-A-bug-13091991-13091997,10,79,58,23,16,56,42,24
420-A-bug-14171953-14171970,10,78,74,7,4,71,70,26
420-A-bug-14755133-14755144,10,129,129,5,5,124,124,26
420-A-bug-16671795-16671832,10,79,57,43,43,36,14,24
451-D-bug-7249921-7249950,10,19,19,17,17,2,2,24
505-A-bug-10101095-10101109,10,56,51,6,1,50,50,30
505-A-bug-10513326-10513335,10,43,30,17,16,26,14,31
538-A-bug-14000679-14000824,10,79,78,3,2,76,76,77
538-A-bug-16876247-16876282,10,102,102,2,2,100,100,65
550-A-bug-17839318-17839327,10,83,79,12,9,71,70,43
575-D-bug-12872706-12872745,10,3,3,3,3,0,0,29
58-A-bug-17762757-17762804,10,45,7,7,7,38,0,24
58-A-bug-18163826-18163845,10,42,17,17,17,25,0,29
58-A-bug-18231253-18231295,10,43,41,5,3,38,38,61
59-A-bug-17307162-17307176,10,34,34,34,34,0,0,23
600-A-bug-18147663-18147679,10,37,17,3,3,34,14,25
600-A-bug-18147672-18147679,10,37,34,3,1,34,33,26
665-C-bug-17762752-17762802,10,21,21,4,4,17,17,24
8-B-bug-17229415-17229625,10,69,57,15,4,54,53,38
8-B-bug-36489-36547,10,91,91,2,2,89,89,25
8-B-bug-37890-37891,10,82,75,8,1,74,74,77
8-B-bug-459037-459038,10,63,48,63,48,0,0,25
