147-A-bug-1045602-1045611,10,79,61,45,31,34,30,25,manual,TIMEOUT,10m,,,,autogen,REPAIR,23.258,29,56,56
147-A-bug-1045605-1045611,10,78,46,44,44,34,2,26,manual,REPAIR,0.332,18,56,56,autogen,REPAIR,64.354,29,56,56
147-A-bug-12915557-12915622,10,74,39,38,38,36,1,28,manual,NOREPAIR,456.838,,,,autogen,TIMEOUT,10m,,,
174-B-bug-1501641-1501825,10,69,66,4,1,65,65,93,manual,????,0.357,,,,autogen,REPAIR,283.373,48,48,48
174-B-bug-1504776-1504783,10,90,86,6,2,84,84,68,manual,REPAIR,14.064,37,38,38,autogen,NOREPAIR,418.406,,,
180-C-bug-15764515-15764561,10,20,6,6,6,14,0,25,manual,????,0.111,,,,autogen,REPAIR,215.507,14,14,14
197-C-bug-11986074-11986110,10,23,23,23,23,0,0,24,manual,NOREPAIR,44.858,,,,autogen,NOREPAIR,122.203,,,
197-C-bug-2103086-2103090,10,23,23,6,6,17,17,24,manual,BUILDFAILED,465.213,,,,autogen,TIMEOUT,10m,,,
202-A-bug-1864388-1905671,10,59,39,29,27,30,12,26,manual,REPAIR,0.576,54,54,54,autogen,REPAIR,18.920,54,54,54
202-A-bug-1938570-1938571,10,59,59,59,59,0,0,25,manual,REPAIR,42.285,54,54,54,autogen,REPAIR,85.734,54,54,54
208-A-bug-17292049-17292076,10,73,23,24,20,49,3,38,manual,????,0.135,,,,autogen,????,0.272,,,
208-A-bug-17532993-17533015,10,73,59,59,59,14,0,26,manual,TIMEOUT,10m,,,,autogen,NOREPAIR,188.289,,,
208-A-bug-17922157-17922172,10,25,15,15,15,10,0,24,manual,NOREPAIR,65.269,,,,autogen,REPAIR,55.674,1,2,2
208-A-bug-18102368-18102377,10,62,62,62,62,0,0,28,manual,NOREPAIR,230.673,,,,autogen,NOREPAIR,574.422,,,
208-A-bug-18110250-18110255,10,74,42,68,36,6,6,46,manual,REPAIR,1.383,71,71,71,autogen,REPAIR,28.764,71,71,71
208-A-bug-18123262-18123289,10,74,33,68,27,6,6,63,manual,????,0.101,,,,autogen,NOREPAIR,92.492,,,
208-A-bug-18260832-18260860,10,74,41,41,41,33,0,34,manual,REPAIR,359.134,71,71,71,autogen,REPAIR,174.705,71,71,71
208-A-bug-18351096-18351104,10,74,33,33,33,41,0,29,manual,NOREPAIR,249.121,,,,autogen,NOREPAIR,197.412,,,
236-A-bug-18003726-18007529,10,91,64,39,39,52,25,42,manual,REPAIR,365.490,48,85,85,autogen,NOREPAIR,193.290,,,
236-A-bug-18003976-18004085,10,89,89,89,89,0,0,27,manual,REPAIR,0.416,85,85,85,autogen,REPAIR,19.790,85,85,85
236-A-bug-18007495-18007529,10,89,89,89,89,0,0,25,manual,REPAIR,106.556,85,85,85,autogen,REPAIR,27.083,85,85,85
236-A-bug-18227052-18227120,10,91,64,39,38,52,26,62,manual,TIMEOUT,10m,,,,autogen,NOREPAIR,277.521,,,
236-A-bug-18338107-18338153,10,91,62,37,37,54,25,56,manual,REPAIR,0.491,47,85,85,autogen,NOREPAIR,222.704,,,
245-B-bug-15450004-15450022,10,26,18,4,2,22,16,51,manual,TIMEOUT,10m,,,,autogen,REPAIR,304.514,20,20,20
245-B-bug-15926715-15927032,10,26,23,4,1,22,22,88,manual,NOREPAIR,248.605,,,,autogen,TIMEOUT,10m,,,
276-B-bug-10441668-10441759,10,33,28,6,1,27,27,30,manual,NOREPAIR,520.088,,,,autogen,VERIFICATIONFAILED,11.029,,,
276-B-bug-13314488-13314500,10,33,28,6,1,27,27,30,manual,REPAIR,51.017,8,16,16,autogen,REPAIR,45.343,10,16,16
276-B-bug-14833281-14833300,10,41,37,6,5,35,32,28,manual,REPAIR,362.810,14,27,27,autogen,NOREPAIR,186.494,,,
276-B-bug-15034096-15034124,10,46,41,6,1,40,40,30,manual,REPAIR,419.311,18,35,35,autogen,NOREPAIR,194.503,,,
276-B-bug-4820773-4820788,10,33,28,6,1,27,27,30,manual,REPAIR,470.804,16,16,16,autogen,NOREPAIR,185.071,,,
276-B-bug-5933556-5940552,10,41,37,6,5,35,32,57,manual,TIMEOUT,10m,,,,autogen,NOREPAIR,280.287,,,
276-B-bug-5933573-5940552,10,41,37,6,5,35,32,30,manual,TIMEOUT,10m,,,,autogen,NOREPAIR,270.811,,,
276-B-bug-6188908-6188949,10,41,26,6,2,35,24,67,manual,TIMEOUT,10m,,,,autogen,NOREPAIR,235.005,,,
281-A-bug-18132658-18132720,10,49,49,3,3,46,46,28,manual,NOREPAIR,7.344,,,,autogen,NOREPAIR,43.350,,,
281-A-bug-18294879-18294887,10,28,28,28,28,0,0,24,manual,REPAIR,0.590,25,25,25,autogen,REPAIR,13.569,25,25,25
291-B-bug-3524194-3524237,10,21,21,21,21,0,0,27,manual,REPAIR,155.258,5,17,17,autogen,NOREPAIR,308.708,,,
291-B-bug-3537395-3537438,10,21,7,4,4,17,3,35,manual,????,0.073,,,,autogen,NOREPAIR,348.197,,,
291-B-bug-3539893-3539896,10,23,4,4,4,19,0,24,manual,NOREPAIR,162.968,,,,autogen,NOREPAIR,169.090,,,
291-B-bug-3726598-3726610,10,23,4,4,4,19,0,24,manual,TIMEOUT,10m,,,,autogen,TIMEOUT,10m,,,
291-B-bug-6753127-6753143,10,31,4,2,2,29,2,30,manual,TIMEOUT,10m,,,,autogen,NOREPAIR,416.321,,,
31-B-bug-10514546-10514583,10,84,36,9,9,75,27,25,manual,REPAIR,51.850,76,76,76,autogen,REPAIR,24.051,76,76,76
31-B-bug-10514570-10514583,10,96,51,7,6,89,45,35,manual,REPAIR,51.746,76,76,76,autogen,REPAIR,104.358,53,76,76
31-B-bug-14199570-14199578,10,74,9,9,9,65,0,24,manual,NOREPAIR,129.339,,,,autogen,REPAIR,18.476,47,59,59
31-B-bug-512114-512120,10,72,14,9,8,63,6,29,manual,NOREPAIR,487.701,,,,autogen,NOREPAIR,322.591,,,
31-B-bug-6435804-6435825,10,90,72,5,4,85,68,27,manual,REPAIR,564.152,56,76,76,autogen,REPAIR,242.927,49,76,76
316-A1-bug-3879223-3879239,10,35,12,4,2,31,10,25,manual,VERIFICATIONFAILED,0.216,,,,autogen,????,4.546,,,
316-A2-bug-3868271-3868327,10,27,18,17,17,10,1,24,manual,????,0.082,,,,autogen,REPAIR,23.137,8,20,20
316-A2-bug-3876995-3877003,10,36,24,4,4,32,20,46,manual,TIMEOUT,10m,,,,autogen,TIMEOUT,10m,,,
353-D-bug-4926926-4926955,10,27,20,9,4,18,16,97,manual,TIMEOUT,10m,,,,autogen,TIMEOUT,10m,,,
353-D-bug-6175754-6175760,10,24,19,6,1,18,18,103,manual,TIMEOUT,10m,,,,autogen,TIMEOUT,10m,,,
363-C-bug-13754002-13754097,10,45,45,2,2,43,43,45,manual,REPAIR,0.355,27,27,27,autogen,REPAIR,33.082,27,27,27
363-C-bug-5405641-5405684,10,31,25,9,3,22,22,41,manual,REPAIR,36.347,17,17,17,autogen,REPAIR,116.124,17,17,17
385-B-bug-11063177-11063186,10,17,14,8,5,9,9,40,manual,REPAIR,1.520,4,4,4,autogen,REPAIR,30.114,4,4,4
385-B-bug-17596493-17596993,10,17,16,3,2,14,14,55,manual,TIMEOUT,10m,,,,autogen,REPAIR,197.512,4,4,4
385-B-bug-6898992-6898998,10,17,11,8,2,9,9,65,manual,REPAIR,1.617,4,4,4,autogen,REPAIR,46.913,4,4,4
385-B-bug-9431521-9431545,10,29,11,11,11,18,0,24,manual,REPAIR,111.907,4,4,4,autogen,REPAIR,13.062,0,4,4
393-A-bug-10224824-10224841,10,77,47,3,3,74,44,26,manual,REPAIR,52.560,39,58,58,autogen,REPAIR,28.732,18,58,58
393-A-bug-12975319-12975331,10,68,11,7,7,61,4,34,manual,REPAIR,1.905,56,58,58,autogen,REPAIR,183.986,41,58,58
393-A-bug-13882866-13882981,10,62,42,21,1,41,41,698,manual,REPAIR,5.315,39,58,58,autogen,TIMEOUT,10m,,,
393-A-bug-13915086-13915488,10,72,60,13,1,59,59,1467,manual,TIMEOUT,10m,,,,autogen,TIMEOUT,10m,,,
393-A-bug-13915169-13915488,10,102,97,6,1,96,96,198,manual,REPAIR,0.434,39,58,58,autogen,TIMEOUT,10m,,,
393-A-bug-14052177-14052206,10,62,33,9,1,53,32,161,manual,TIMEOUT,10m,,,,autogen,REPAIR,128.361,18,58,58
41-C-bug-10642948-10642983,10,56,36,21,1,35,35,52,manual,TIMEOUT,10m,,,,autogen,NOREPAIR,358.101,,,
